word,freq
Afrique,896177
Allemagne,597511
Alors,541814
Amérique,481331
Après,580534
Au,419446
Aujourd,789645
B,481175
Belgique,502942
Bon,543695
C'',1577064343712
Ca,575405263251
Canada,1084367
Ce,591222556539
Ces,201220
Cette,659374
Chine,632239
Christ,591030
Comme,250343
Comment,197870
Conseil,1230737
D,526491162266
D'',95707
DE,749659
Dans,777943
David,504494
De,605670559647
Depuis,166836
Des,392512
Dieu,2853028
E,208703
Elle,829069292713
En,1335207589531
Et,1326452754742
Etat,1523165
Etats-Unis,663720
Europe,1659643
France,5412115
Français,743366
François,604552
Grand,596021
Il,2932476336480
Internet,2401007
Israël,578678
J'',1542230313209
Jacques,522075
Jean,1087636
Jésus,754668
Louis,499757
M,255127
Ma,166851
Mais,1117353
Marie,503592
Merci,335969
Michel,604200
N,277277
New,523396
Nicolas,568253
Nord,695801
O,186978
On,899445172246
Oui,326953
Paris,2267860
Paul,621301
Pierre,871326
Pour,1884431
Président,664136
Que,243777
Québec,805934
S,252028
Saint,621508
Sarkozy,509512
Seigneur,574174
Si,495169577125
Sud,54323996617
The,792834
Tout,98168
Un,817733
Une,662146
Voici,154978
Vous,1001218
Web,1106968
a-t-elle,137903
a-t-il,596703
ab,19596
abandonner,750066
abattre,243839
abondamment,48523
abondant,111018
abordable,132452
aborder,549810
aboutir,358865
abriter,222688
abruptement,4694
absence,827916
absent,202019
absolu,153558
absolument,743317
absorber,200741
absoudre,208907
absurde,103202
abuser,174513
abusivement,11987
académique,113413
accentuer,152009
acceptable,145798
accepter,1634315
accessible,514485
accessoire,121432
accessoirement,39782
accident,591626
accidentellement,22484
accompagner,1388345
accomplir,547854
accord,1113106
accorder,893632
accrocher,375782
accroître,219159
accueil,820340
accueillir,1037394
accumuler,208022
accuser,426560
accès,1515189
accéder,521260
accélérer,278621
achat,1144328
acheter,2211302
achever,349802
acide,99651
acquérir,842364
acte,1203708
acteur,1085698
actif,795580
action,2976414
activement,130179
activer,295409
activité,3099967
actualité,481458
actuel,1717322
actuellement,1174479
ad,80054
adapter,1272199
additionnel,93786
adhérer,205655
adjoindre,167972
admettre,539696
administratif,588841
administration,922937
administrativement,7996
administrer,149886
admirablement,24941
admirer,307244
adolescent,90324
adopter,848030
adorable,116885
adorer,1025026
adresse,900221
adresser,923111
adroitement,6867
adulte,283076
adversaire,619090
adverse,111922
adéquat,203171
adéquatement,20401
aequo,4641
affaire,2507741
affecter,474483
affectif,96421
affectivement,3634
affectueusement,12878
afficher,858316
affilée,25591
affirmatif,2369
affirmer,1068694
affreusement,14798
affronter,405577
africain,500907
agence,672647
agent,850216
agir,3594409
agiter,214152
agrandir,150810
agressif,176610
agressivement,4729
agricole,464201
agréable,694866
agréablement,53853
aide,2331195
aider,3036049
aigu,95693
ailler,185120
ailleurs,1413092
aimable,86575
aimablement,11590
aimer,5379818
ainsi,5819207
air,2403747
aisé,158107
aisément,149064
ajouter,2243449
ajuster,148450
al,159837
album,999708
alentour,19987
algérien,259595
alias,85244
aligner,174052
alimentaire,586161
alimentation,477998
alimenter,297896
allemand,630246
aller,19228310
allier,233012
allonger,254952
allumer,284915
allègrement,27896
allégrement,9398
alors,10390819
alternatif,244955
alternativement,63804
aléatoire,104405
aléatoirement,13560
amateur,525802
ambiance,662951
ambiant,105367
ambitieux,135506
amener,859657
amer,99063
ami,2990058372082
amical,189415
amicalement,59141
amour,1856311
amoureusement,12421
amoureux,382789
ample,104647
amplement,59909
amusant,181056
amuser,682239
amèrement,14543
amélioration,584032
améliorer,1220768
aménager,217097
américain,1400927
an,9495640
ana,8807
analyse,1113152
analyser,581343
ancien,2573704
anciennement,46638
and,804912
anglais,960869
animal,1074724337572
animation,528652
animer,687498
anniversaire,178410
annonce,759946
annoncer,1751599
annuel,530661
annuellement,50440
annuler,256591
année,8208080
anonyme,146334
anonymement,6844
anormalement,17896
anticiper,202825
antique,159053
antérieur,218814
antérieurement,27516
août,932596
apercevoir,611428
apparaître,1616387
appareil,1004361
apparemment,354436
apparent,151015
appartement,554512
appartenir,823832
appel,1482020
appeler,3019460
applicable,186711
application,1581012
appliquer,1241077
apporter,1908124
apprendre,2311867
apprentissage,515778
approche,837768
approcher,780050
approfondir,264468
approprier,361460
approprié,175221
approuver,315571
approximativement,41244
apprécier,1074868
apprêter,167493
appuyer,897310
apres,139040
après,630737
après-demain,6722
aprés,92210
apte,91939
aquatique,88972
arabe,474248
arbitrairement,16151
arbre,844011
architectural,100654
ardemment,23347
argent,2277220
arme,1169981
armer,299616
armé,171794
armée,871891
arrache-pied,6379
arracher,302265
arranger,273573
arriver,5261739
arrivé|arrivée,880951
arrière,25485173444
arrêt,649975
arrêter,2013407
art,1762230
article,3372990
articler,203155
artificiel,168792
artificiellement,25842
artisanal,101622
artisanalement,3077
artiste,951965184501
artistique,435383
artistiquement,7783
asiatique,159438
aspect,1011241
aspirer,181404
assassiner,154461
assemblée,738732
asseoir,804928
assez,3376681
assidument,3309
assidûment,8668
assimiler,167822
assister,736015
associatif,152607
association,2091970
associer,1332257
assumer,376497
assurance,1036752
assurer,2606095
assurément,88130
astucieusement,5201
atelier,766889
atrocement,11585
attacher,607040
attaque,902514
attaquer,785030
atteindre,1901565
attendre,4132609
attente,737854
attentif,223295
attention,1696392
attentivement,110779
attirer,863612
attitude,528624
attractif,102016
attraper,299145
attrayant,93567
attribuer,477122
au-dedans,6207
au-delà,557830
au-dessous,50293
au-dessus,416443
au-devant,11965
aucunement,75925
audacieusement,2437
audio,120400
augmentation,709762
augmenter,1414852
aujourd,8517751498742287558
auparavant,218271
auprès,1247559
aussi,15959405
aussitôt,320094
autant,2187525
auteur,1906984
authentique,211267
authentiquement,10402
autochtone,105744
automatique,319461
automatiquement,286682
automobile,248761
autonome,229190
autoriser,717068
autorité,1185997
autour,2146936
autre,21309133
autrefois,238913
autrement,574320
avaler,201577
avance,812623
avancer,1222547
avant,507647319606
avant-hier,21426
avant-plan,4080
avantage,1322518
avantageusement,16153
avantageux,115816
avec,510876
avenir,1032604
aventure,742563
avertir,242584
aveugle,118313
aveuglette,7220
aveuglément,15133
avidement,10301
avion,612235
avis,1594010
avocat,578340
avoir,162955084
avouer,733119
avril,1212564
avérer,463418
axer,168156
aérien,367685
b,236614
bain,635951
baiser,227348
baisse,500418
baisser,509625
balancer,184356
banal,149016
banalement,2557
bancaire,344263
bande,773429
banque,993748
baptiser,189021
bas,510437964837521115
base,2621608
baser,879219
bassement,5580
bataille,526587
bateau,593021
battre,1149936
beau,5133729
beaucoup,6825402
beauté,634329
belge,298138
ben,620234
besoin,4359214
biblique,106222
bien,110164335630622566139
bientôt,981222
bienvenir,191139
bigrement,2753
bilan,526916
billet,545039
biologique,506286
biologiquement,7235
bis,867355736
bizarre,313315
bizarrement,72150
blanc,1788030
blesser,433988
bleu,755569
blog,1640613104065
blond,279547
bloquer,439841
boire,763234
bois,1370898
bon,12010425678714
bonheur,844616
bonjour,923937
bonne,76920
bonnement,36623
bonus,554636
bord,1050759
bosser,205942
bouche,817986
bouger,569088
boulot,85538
bourgeois,107282
bout,1523999
boutique,489051
boîte,481481
brancher,197857
bras,1265494
brave,93588
bravement,4693
bref,423068710024
breton,102101
brillamment,27824
brillant,222279
briller,294810
briser,383448
britannique,349508
brièvement,76619
bruit,604765
brun,255109
brusquement,103704
brut,237613
brutal,145374
brutalement,75604
bruyamment,20359
brésilien,104462
brûler,357692
budget,739596
budgétaire,197867
bureau,1179770
but,2005365
bâtiment,782471
bâtir,260423
béatement,2698
bébé,717041
bénéficier,684326317119
bénéfique,172184
bénévole,115622
bénévolement,14569
bête,153053
bêtement,45398
c,936444183197
c''est-à-dire,745193
ca,1520106212956
cacher,1143830
cadeau,636365
cadre,2252120
café,552673
calculer,340342
califourchon,8188
calme,528537
calmement,57227
calmer,278041
camp,631641
campagne,1188021
canadien,545902
candidat,1012886
capable,1159612
capacité,1378176
capital,217972
capitaliste,113487
capturer,155896
caractère,1113517
caractériser,335492
caractéristique,523005179993
cardiaque,169787
caresser,277230
carrière,696280
carré,85949
carrément,164385
carte,2168856
cas,6235039
cash,48452
casino,1698776
casser,456664
catholique,411076
catimini,9756
catégorie,935135
catégoriquement,21625
cause,2514958
causer,562053
celer,199175
celle-ci,395129
celles-ci,100910
cellulaire,163016
cellule,603370
celui-ci,51603593706
censé,237043
censément,3025
centaine,605440
central,847255
centre,2460253
centrer,190683
cependant,2064890
certain,1539220
certainement,1246404
certes,804742
cesser,718035
ceux-ci,173373
chaleur,639868
chaleureusement,39040
chaleureux,190907
chambre,1655637
champ,995808
championnat,491158
chance,1681064
changement,1457405
changer,2734486
chanson,833914
chanter,591371
chapitre,676701
charge,1671978
charger,1204153
charmant,227576
chasser,284956
chat,645114
chaud,109873622458
chaudement,16649
chauffer,280889
chaussure,477668
chaîne,680450
chef,1804586
chemin,1527898
cher,795872863140
chercher,2861074
chercheur,106704
cheval,856438
cheveu,977605
chichement,2455
chien,968326
chier,150367
chiffre,886363
chimique,299853
chimiquement,8734
chinois,502045
chirurgical,106983
chirurgicalement,2530
choisir,2872367
choix,2534159
choquer,216783
chose,7668583
chouette,104719
chronique,166906
chronologiquement,8187
chrétien,457764
chute,490153
chèrement,9131
ci,519432
ci-dessous,353870
ci-dessus,271907
ci-devant,5320
ci-joint,21190
cibler,301981
ciel,755855
cinquante,136743
cinquième,134830
cinéma,680377
cinématographique,98737
circulaire,87817
circuler,260965
citer,786336
citoyen,943739
cité,528812
civil,790285
civilement,5695
clair,1028311249335
clairement,615922
clandestinement,13091
class,12193
classe,1662327
classer,496612
classique,788663
classiquement,13902
client,2105241
climatique,266795
clinique,266606
cliniquement,12724
cliquer,675766
clore,210424
club,1403161
clé,810469
cm,610262
code,995532
cognitif,95682
cohérent,171804
coin,794531
coincer,151968
collaboration,580226
collaborer,164951
collectif,788897
collection,623211
collectivement,62138
coller,501490
collègue,491370
colonial,146187
colorer,221127
com,859277
combat,1210441
combattre,457465
combien,823511
combiner,392536
combler,256604
comité,888044
commande,771604
commander,605374
comme,10957024
commencer,4434432
comment,4069641
commentaire,1516909
commenter,269235
commerce,864781
commercial,990073
commercialement,13648
commercialiser,152735
commettre,458866
commission,1129265
commodément,7295
commun,1159275
communal,205791
communautaire,357091
communauté,1349447
commune,1031972
communication,1232316
communiquer,638556
communiste,217353
communément,68806
compact,131561
compagnie,1191580
comparable,173171
comparativement,48314
comparer,652458
compatible,144822
compenser,189092
complaisamment,4158
complet,1215891
complexe,547209
compliquer,394623
complètement,861715
complémentaire,326123
compléter,529503
comportement,834078
comporter,621017
composer,1224996
comprendre,5887076
comptable,157728
comptant,19398
compte,3033951
compter,2557075
compétence,980234
compétent,245615
compétitif,109592
compétition,503798
con,191039
concentrer,615573
concept,769033
conception,768730
concerner,3160734
concert,699184
concevoir,956887
conclure,643306
conclusion,614662
concomitamment,2651
concours,695337
concret,321219
concrètement,108609
concurremment,2748
condamner,577023
condition,2439847
conduire,1297132
confiance,1135913
confier,623771
confirmer,1041723
conflit,645906
confondre,340502
conforme,245214
conformément,232263
confortable,272310
confortablement,55140
confronter,364600
confus,85417
confusément,6395
conférence,719091
conférer,164399
congolais,112879
conjointement,86312
connaissance,1670423
connaître,5991339
connecter,454949
connu,96037
conquérir,176328
consacrer,955208
consciemment,28624
conscience,960929
consciencieusement,15632
conscient,367854
conseil,2093634
conseiller,838226
consentir,150364
conservateur,115107
conserver,916998
considérable,287489
considérablement,186640
considérer,2008005
consister,766910
consommateur,585992
consommation,780323
consommer,464610
constamment,228602
constant,351984
constater,1071837
constituer,1789856
constitutionnel,192589
constitutionnellement,3897
constructif,104302
construction,1335488
construire,1541543
consulter,694730
consécutif,162544
consécutivement,6830
conséquemment,10995
conséquence,1021150
conséquent,606189
contact,1221345
contacter,543599
contempler,151722
contemporain,410509
contenir,1395706
content,582265
contenter,468791
contenu,1031483
contester,207119
contexte,760917
continu,431664
continuellement,81319
continuer,2670560
continûment,2494
contractuellement,5005
contradictoire,118993
contradictoirement,2554
contraindre,284304
contraire,868672296270
contrairement,480269
contrat,1252364
contre,563253
contrecœur,6331
contrer,159976
contribuer,833258
contrôle,1353469
contrôler,696852
convaincant,92543
convaincre,652879
convenable,96324
convenablement,52944
convenir,403415
convenir|convier,446943
convention,552664
conventionnel,138010
conventionnellement,2397
convertir,225580
convivial,160444
convoquer,146128
cool,266174
coordonner,161551
copier,214922
copieusement,19142
coquin,112819
cordialement,121141
corporel,170995
corporellement,2581
corps,2843063
correct,363534
correctement,352191
correspondant,110355
correspondre,914615
corriger,355883
corrélativement,3256
coter,786798
couche,514429
coucher,421014
couler,387276
couleur,2132046
coup,3803427
coupable,206612
couper,865032
couple,953649
coupler,209391
cour,533606
courage,724812
courageusement,18607
courageux,146379
couramment,81566
courant,877959315209
courir,870570
course,1168549
court,1057137122300
courtoisement,3083
cour|cours,3764815
couverture,546896
couvrir,889293
coût,1213089
coûter,470526
coûteux,207525
craindre,537182
craquer,185505
crescendo,10213
creuser,234306
creux,92819
crier,443302
criminel,186817
crise,1279533
critique,601171400529
critiquer,328748
critère,567165
croire,4249414
croiser,591626
croissance,805627
croissant,162156
croître,200316
crucial,176720
cruel,149626
cruellement,50727
crânement,2692
créateur,162766
créatif,177305
création,1791365
crédible,139909
crédit,866858
créer,3691244
crûment,4167
cuire,275218
cuisine,850494
cul,503178
cultiver,244058
culture,1542467
culturel,985526
culturellement,19631
curieusement,57703
curieux,323905
cycle,511476
cyniquement,4295
céans,2820
céder,308858
céleste,113218
célèbre,626616
célébrer,283177
cérébral,107754
côté,3275252
cœur,2733006
d,1284071288629
d''abord,1781806
d''accord,940511
d''ailleurs,2071645
d''après,739079
d''autant,631921
danger,668460
dangereusement,34824
dangereux,619840
danser,299110
date,1389389
dater,418974
davantage,720133
debout,282021
dedans,269265
degré,512483
dehors,552361185736
delà,198474
demain,760711
demande,1857450
demander,5230496
demeurant,9643
demeurer,686638
demi,18187137118
dense,113469
densément,5353
dentaire,110282
depuis,50963
derechef,10403
dernier,9492356891886
dernièrement,94578
derrière,170694
descendre,699012
description,526895
dessin,610046
dessiner,490989
dessous,304284
dessus,874219
destiner,923381
dette,476488
deuxièmement,53058
devant,284600
devenir,5145603
deviner,255219
devoir,16877438
deçà,26473
diablement,8693
diaboliquement,2524
dialogue,515492
diamétralement,10425
dieu,538931
difficile,2071947
difficilement,171982
difficulté,1200122
diffuser,565965
différemment,93185
différence,1092569
différent,4351074
différer,154495
digne,401515
dignement,31322
diligemment,2358
dimanche,1048293
dimension,660170
diminuer,569864
diplomatique,134418
diplomatiquement,3276
dire,17955355
direct,918656
directement,1162013
directeur,991939256653
direction,1674811
dirigeant,561380
diriger,1146010
discours,824698
discret,262006
discrètement,87503
discussion,748850
discuter,733197
disparaître,1045704
dispenser,146931
disponible,1525976
disposer,1301179
dispositif,628862
disposition,1164053
disputer,238555
disque,667014
dissimuler,158534
distance,728380
distant,86788
distinct,241380
distinctement,22305
distinguer,544277
distraitement,8702
distribuer,392158
distribution,535232
dit,146341
divers,1588385
diversement,11153
divin,404125
divinement,9888
diviser,361896
dizaine,616611
docilement,9288
doctement,2393
document,1371629
documentaire,131768
doigt,800352
dolce,6258
dollar,807589
domaine,1969135
domestique,174160
domicile,625547
dominant,170686
dominer,433762
dommage,714585
don,625864
donc,11024279
donner,9050397
donnée,1666854
dormir,736136
dorénavant,92849
dos,932425
dossier,1340612
doter,445083
double,715699
doublement,34127
doubler,277536
doucement,492528
douleur,815447
douloureusement,15867
douloureux,245915
doute,2093675
douter,563965
doux,8768047042
dramatique,172728
dramatiquement,9191
drastiquement,9603
dresser,341432
droit,4189858112565051126
droit|droite,940116
drôle,284697
drôlement,21747
ds,177695
dun,166099
dur,114415473584
durable,591760
durablement,55380
durement,82129
durer,870298
durée,1007137
dynamique,335740
dynamiquement,8275
débarquer,202609
débarrasser,255734
débat,1003391
débattre,217213
début,2653105
débutant,171578
débuter,551674
décembre,1295407
décemment,15554
décevoir,354207
déchirer,188373
décider,2490558
décidément,135798
décisif,164067
décision,1553495
déclaration,708519
déclarer,1387241
déclencher,266273
décliner,167020
décorer,189253
découler,179280
découper,155311
découverte,580501
découvrir,2764106
décrire,830023
décrocher,178416
décéder,215686
dédier,446685
défaire,164166
défaut,735482
défendant,6589
défendre,883677
défense,763225
défensif,124477
défensivement,9285
défi,516933
définir,1046165
définitif,322779
définition,561578
définitivement,339255
dégager,436024
déjà,5608408
délai,598701
délibérément,46636
délicat,286234
délicatement,87293
délicieusement,18837
délicieux,179638
délivrer,305553
démarche,787248
démarrer,343243
démesurément,6187
démocratie,561394
démocratique,412061
démocratiquement,22874
démographique,92395
démontrer,622637
dénoncer,464190
départ,1442319
département,771746
départemental,230679
dépasser,826579
dépendamment,2949
dépendant,111359
dépendre,742799
dépense,576340
dépenser,282038
déplacement,529812
déplacer,679062
déployer,283829
déposer,772540
déranger,303083
dériver,151200
dérouler,725636
désagréable,130245
désagréablement,3309
désespérément,48339
désigner,658206
désir,680183
désirer,663928
désireux,111419
désoler,496848
désormais,1168079
détacher,213326
détail,1120802
détailler,396597
détecter,214869
détendre,222189
détenir,344794
déterminer,950168
détester,286570
détourner,268938
détruire,673118
développement,2635190
développer,1949991
dévoiler,377012
dûment,36904
e,1340742698139667997
eau,3948466
effacer,293615
effectif,247652
effectivement,778922
effectuer,1643473
effet,4999173
efficace,1107712
efficacement,175669
efficacité,545453
efforcer,178119
effort,1211036
effrontément,3194
effroyablement,2652
embarquer,214816
emblée,91839
embrasser,424374
emmener,390846
emparer,202422
empiriquement,4396
emploi,1685309
employer,777556
employé,488264
emporter,471871
emprunter,320200
empêcher,1247106
encadrer,214199
enchaîner,166773
encontre,175329
encor,26971
encore,10454358
encourager,579248
endormir,277758
endroit,1524535
enfant,5727805
enfermer,260058
enfiler,148568
enfin,3717026
enfoncer,282313
enfuir,154673
engagement,777944
engager,1377867
engendrer,261289
enjeu,523055
enlever,694769
ennemi,600172199950
ennuyer,196914
enquête,844174
enregistrer,782976
enrichir,282447
enseignant,507672114090
enseignement,969368
enseigner,485430
ensemble,23602781008620
ensuite,2629879
entamer,289143
entendre,3303549
enterrer,157082
entier,1205433
entièrement,590110
entourer,638124
entrainer,215811
entraîner,820102
entre-temps,33927
entreprendre,569492
entreprise,4221782
entrer,1716121
entretemps,10896
entretenir,479625
entretien,755146
entrée,1277685
envahir,268717
envi,12200
envie,1594470
envier,187803
environ,766759
environnement,1386459
environnemental,328329
envisager,690153
envoler,168454
envoyer,1901770
er,604119155846530709
ergo,4227
erreur,1064072
espace,1982379
espagnol,380041
espoir,698027
esprit,2328562
espèce,840529
espérer,1854945
essai,727209
essayer,769944
essayer|essayer,1917198
essentiel,929134
essentiellement,486381
est-ce,1218347
est-ce-que,8100
est-elle,182721
est-il,509768
est-à-dire,5657
esthétique,200517
esthétiquement,11334
estimer,1008084
estival,90469
etait,503483
ethnique,136696
ethniquement,2472
etre,498756316202223947
euro,2027013
européen,1948534
ex,484647
exact,413514
exactement,746848
exagérément,8282
examen,718569
examiner,553338
excellemment,4472
excellent,1085344
exception,485958
exceptionnel,579887
exceptionnellement,55332
